date,game,earnings,players,tournaments,year,month,release_year,genre,total_earnings,offline_earnings,percent_offline,total_players,total_tournaments
2001-05-01,StarCraft: Brood War,18427.34,16,2,2001,5,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2001-05-01,Quake III Arena,15841.68,16,2,2001,5,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2001-05-01,Counter-Strike,13131.0,41,1,2001,5,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2001-05-01,Age of Empires II,500.0,1,1,2001,5,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2001-06-01,Age of Empires II,500.0,4,1,2001,6,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2001-07-01,QuakeWorld,15000.0,8,1,2001,7,1996,First-Person Shooter,104913.39,99067.16,0.944275654423139,57,16
2001-07-01,Counter-Strike,1800.0,16,2,2001,7,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2001-08-01,Quake III Arena,58197.36,3,2,2001,8,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2001-08-01,Counter-Strike,13197.36,41,1,2001,8,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2001-08-01,Age of Empires II,500.0,1,1,2001,8,1999,Strategy,3898508.73,1361409.22,0.349212818102372,2256,1939
2001-08-01,Capcom vs. SNK,0.0,3,1,2001,8,2000,Fighting Game,140.0,140.0,1.0,6,2
2001-08-01,Marvel vs. Capcom 2,0.0,3,1,2001,8,2000,Fighting Game,39279.73,39269.73,0.999745415765332,68,29
2001-08-01,Street Fighter Alpha 3,0.0,3,1,2001,8,1998,Fighting Game,340.0,340.0,1.0,16,5
2001-08-01,Super Street Fighter II Turbo,0.0,3,1,2001,8,1994,Fighting Game,28227.29,28227.29,1.0,126,55
2001-09-01,Counter-Strike,22792.51,41,1,2001,9,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
2001-09-01,StarCraft: Brood War,14051.52,16,1,2001,9,1998,Strategy,7555915.68,7299575.96,0.966074301136193,663,542
2001-10-01,Quake III Arena,28000.0,15,2,2001,10,1999,First-Person Shooter,1198106.02,1180293.99,0.985133177112323,309,115
2001-10-01,Counter-Strike,22000.0,15,2,2001,10,2000,First-Person Shooter,13624160.18,12905226.0,0.947230936035574,4327,1026
